Age (days),Weight (g),Daily Gain (g),Average Daily Gain (g),Cum. Feed Conversion (FCR),Daily Feed Intake (g),Cum. Feed Intake (g)
0,42.0,,,,,
1,55.0,13.0,,,,
2,71.0,16.0,,,,
3,90.0,19.0,,,,
4,112.0,22.0,,,,
5,138.0,26.0,,,,
6,168.0,30.0,,,,
7,202.0,34.0,22.9,0.891,,180.0
8,240.0,38.0,24.8,0.917,40.0,220.0
9,283.0,43.0,26.8,0.933,44.0,264.0
10,330.0,47.0,28.8,0.952,50.0,314.0
11,382.0,52.0,30.9,0.971,57.0,371.0
12,440.0,58.0,33.2,0.991,64.0,435.0
13,503.0,63.0,35.5,1.012,73.0,508.0
14,570.0,67.0,37.7,1.029,80.0,588.0
15,639.0,69.0,39.8,1.05,84.0,672.0
16,711.0,72.0,41.8,1.072,91.0,763.0
17,786.0,75.0,43.8,1.094,98.0,861.0
18,864.0,78.0,45.7,1.116,105.0,966.0
19,945.0,81.0,47.5,1.138,111.0,1077.0
20,1029.0,84.0,49.4,1.16,118.0,1195.0
21,1116.0,87.0,51.1,1.182,125.0,1320.0
22,1205.0,89.0,52.9,1.203,131.0,1451.0
23,1296.0,91.0,54.5,1.224,137.0,1588.0
24,1390.0,94.0,56.2,1.245,143.0,1731.0
25,1486.0,96.0,57.8,1.265,149.0,1880.0
26,1583.0,97.0,59.3,1.284,154.0,2034.0
27,1682.0,99.0,60.7,1.303,160.0,2194.0
28,1783.0,101.0,62.2,1.322,165.0,2359.0
29,1886.0,103.0,63.6,1.34,169.0,2528.0
30,1989.0,103.0,64.9,1.358,174.0,2702.0
31,2094.0,105.0,66.2,1.375,178.0,2880.0
32,2200.0,106.0,67.4,1.392,183.0,3063.0
33,2306.0,106.0,68.6,1.409,187.0,3250.0
34,2413.0,107.0,69.7,1.425,191.0,3441.0
35,2521.0,108.0,70.8,1.441,194.0,3635.0
36,2629.0,108.0,71.9,1.457,198.0,3833.0
37,2738.0,109.0,72.9,1.474,202.0,4035.0
38,2846.0,108.0,73.8,1.49,206.0,4241.0
39,2954.0,108.0,74.7,1.506,209.0,4450.0
40,3062.0,108.0,75.5,1.522,213.0,4663.0
41,3170.0,108.0,76.3,1.539,217.0,4880.0
42,3278.0,108.0,77.1,1.555,220.0,5100.0
43,3384.0,106.0,77.7,1.573,224.0,5324.0
44,3490.0,106.0,78.4,1.59,228.0,5552.0
45,3595.0,105.0,79.0,1.608,232.0,5784.0
46,3699.0,104.0,79.5,1.627,236.0,6020.0
47,3801.0,102.0,80.0,1.646,239.0,6259.0
48,3902.0,101.0,80.4,1.666,243.0,6502.0
49,4001.0,99.0,80.8,1.686,247.0,6749.0
50,4099.0,98.0,81.1,1.707,250.0,6999.0
51,4195.0,96.0,81.4,1.728,253.0,7252.0
52,4289.0,94.0,81.7,1.75,256.0,7508.0
53,4380.0,91.0,81.9,1.772,258.0,7766.0
54,4470.0,90.0,82.0,1.795,260.0,8026.0
55,4557.0,87.0,82.1,1.818,261.0,8287.0
56,4641.0,84.0,82.1,1.842,262.0,8549.0
